#soft_core=0.95
#duplication_margin=0.05
organism	nb_families	nb_persistent_families	nb_shell_families	nb_cloud_families	nb_exact_core	nb_soft_core	nb_genes	nb_persistent_genes	nb_shell_genes	nb_cloud_genes	nb_exact_core_genes	nb_soft_core_genes	completeness	nb_single_copy_markers
GeversD_2014__SKBSTL023__bin.1	2485	2284	150	51	0	65	2496	2294	151	51	0	66	61.59	2232
GeversD_2014__SKBSTL009__bin.45	4032	3450	502	80	0	65	4068	3474	513	81	0	67	93.21	3378
GeversD_2014__SKBSTL010__bin.35	3479	2826	474	179	0	65	3510	2841	488	181	0	66	76.43	2770
GeversD_2014__SKBSTL024__bin.43	2552	2083	310	159	0	52	2579	2106	314	159	0	53	56.35	2042
GeversD_2014__SKBSTL035__bin.4	3051	2683	247	121	0	65	3074	2703	250	121	0	66	72.68	2634
GeversD_2014__SKBSTL067__bin.8	1950	1472	268	210	0	21	1958	1478	270	210	0	21	39.87	1445
HanniganGD_2017__MG100134__bin.2	2071	1599	285	187	0	42	2107	1631	289	187	0	42	43.32	1570
GeversD_2014__SKBSTL036__bin.4	2700	2351	295	54	0	56	2714	2360	299	55	0	56	62.75	2274
GeversD_2014__SKBSTL060__bin.2	3051	2523	371	157	0	65	3084	2533	394	157	0	65	68.1	2468
GeversD_2014__SKSTL0003__bin.40	2677	2230	375	72	0	65	2704	2249	383	72	0	66	60.13	2179
GeversD_2014__SKBSTL059__bin.33	3743	2964	562	217	0	55	3777	2988	572	217	0	58	80.19	2906
HanniganGD_2017__MG100168__bin.7	2623	2334	170	119	0	59	2659	2370	170	119	0	60	62.69	2272
HanniganGD_2017__MG100137__bin.1	4256	3555	332	369	0	65	4336	3605	355	376	0	67	95.53	3462
HanniganGD_2017__MG100158__bin.2	2916	2448	335	133	0	56	2973	2502	338	133	0	59	66.5	2410
HanniganGD_2017__MG100147__bin.6	3964	3541	296	127	0	65	4023	3584	311	128	0	67	95.06	3445
HanniganGD_2017__MG100181__bin.1	4032	3456	422	154	0	64	4055	3476	425	154	0	66	92.85	3365
HanniganGD_2017__MG100194__bin.1	4147	3570	435	142	0	65	4167	3580	443	144	0	67	95.89	3475
HeQ_2017__RSZAXPI003062-102__bin.2	3417	3031	257	129	0	65	3447	3058	260	129	0	67	81.51	2954
HanniganGD_2017__MG100195__bin.5	4051	3388	501	162	0	65	4105	3418	525	162	0	67	91.58	3319
HeQ_2017__RSZAXPI003094-125__bin.38	2498	1963	343	192	0	65	2512	1970	350	192	0	66	53.09	1924
HeQ_2017__RSZAXPI003065-105__bin.20	3328	2887	322	119	0	65	3342	2895	328	119	0	66	77.62	2813
HeQ_2017__RSZAXPI003063-104__bin.2	4129	3505	520	104	0	65	4162	3532	526	104	0	67	94.21	3414
HeQ_2017__RSZAXPI003081-115__bin.29	2981	2519	203	259	0	53	3047	2577	206	264	0	56	67.52	2447
HeQ_2017__RSZAXPI003079-113__bin.24	3687	3096	274	317	0	65	3744	3149	277	318	0	65	83.22	3016
HeQ_2017__RSZAXPI003077-109__bin.40	3797	3338	311	148	0	65	3837	3368	321	148	0	68	89.62	3248
HeQ_2017__RSZAXPI003098-132__bin.6	2060	1832	206	22	0	64	2071	1838	211	22	0	64	49.14	1781
HeQ_2017__RSZAXPI003099-133__bin.2	2093	1890	160	43	0	57	2108	1899	164	45	0	58	51.02	1849
HeQ_2017__RSZAXPI003069-101__bin.1	3578	3170	295	113	0	64	3606	3196	297	113	0	66	85.29	3091
HeQ_2017__RSZAXPI003097-131__bin.6	3244	2714	329	201	0	57	3287	2748	338	201	0	57	72.82	2639
HeQ_2017__RSZAXPI003096-130__bin.25	3924	3551	289	84	0	63	3964	3581	296	87	0	65	95.39	3457
HeQ_2017__RSZAXPI003108-148__bin.4	2462	1903	431	128	0	65	2496	1912	456	128	0	66	51.35	1861
HeQ_2017__SZAXPI029469-27__bin.26	2010	1825	123	62	0	65	2028	1840	126	62	0	65	49.23	1784
HeQ_2017__SZAXPI029473-40__bin.13	2360	1989	324	47	0	65	2378	2003	328	47	0	66	54.03	1958
HeQ_2017__RSZAXPI003105-143__bin.41	3971	3442	364	165	0	65	3999	3464	370	165	0	67	92.44	3350
HeQ_2017__SZAXPI029460-123__bin.37	4091	3487	462	142	0	65	4127	3507	478	142	0	67	93.6	3392
HeQ_2017__SZAXPI029467-166__bin.27	3488	3007	282	199	0	60	3547	3062	284	201	0	62	80.85	2930
HeQ_2017__RSZAXPI003106-145__bin.54	4155	3584	399	172	0	65	4204	3621	407	176	0	66	96.22	3487
HeQ_2017__SZAXPI029480-66__bin.34	2327	1910	344	73	0	65	2346	1920	353	73	0	67	51.57	1869
HeQ_2017__SZAXPI029485-81__bin.8	2286	2016	232	38	0	60	2295	2020	237	38	0	60	54.39	1971
HeQ_2017__SZAXPI029461-129__bin.8	4061	3494	432	135	0	65	4108	3537	435	136	0	68	93.85	3401
HeQ_2017__SZAXPI029466-158__bin.20	4164	3505	480	179	0	65	4219	3534	501	184	0	67	94.09	3410
HeQ_2017__SZAXPI029479-64__bin.6	3440	3108	220	112	0	64	3470	3130	228	112	0	65	83.61	3030
HeQ_2017__SZAXPI029474-42__bin.2	4506	3537	629	340	0	65	4554	3573	641	340	0	67	95.17	3449
HeQ_2017__SZAXPI029482-77__bin.13	3737	3358	277	102	0	64	3798	3410	285	103	0	66	90.2	3269
HeQ_2017__SZAXPI029499-101__bin.24	2729	2492	188	49	0	63	2750	2508	193	49	0	63	66.72	2418
HeQ_2017__SZAXPI029491-89__bin.47	3634	3446	169	19	0	65	3646	3456	171	19	0	67	92.63	3357
HeQ_2017__SZAXPI029497-98__bin.7	2592	2292	240	60	0	64	2604	2301	243	60	0	64	61.84	2241
HeQ_2017__SZAXPI029503-106__bin.12	2905	2676	189	40	0	63	2939	2704	195	40	0	63	72.05	2611
HeQ_2017__SZAXPI029561-52__bin.45	2036	1897	106	33	0	64	2042	1902	107	33	0	65	51.27	1858
HeQ_2017__SZAXPI029489-87__bin.11	3687	3459	178	50	0	65	3714	3478	185	51	0	66	93.16	3376
HeQ_2017__SZAXPI029500-102__bin.50	4193	3544	536	113	0	65	4229	3562	553	114	0	67	95.2	3450
HeQ_2017__SZAXPI029553-32__bin.1	3553	2961	398	194	0	61	3584	2986	402	196	0	63	79.8	2892
HeQ_2017__SZAXPI029557-42__bin.20	3557	3114	243	200	0	64	3596	3149	247	200	0	67	83.83	3038
HeQ_2017__SZAXPI029541-107__bin.30	4234	3489	460	285	0	65	4313	3556	471	286	0	67	93.79	3399
HeQ_2017__SZAXPI029567-80__bin.72	3920	3437	325	158	0	64	3955	3466	330	159	0	66	92.41	3349
HeQ_2017__SZAXPI029546-133__bin.28	4227	3511	567	149	0	64	4271	3542	579	150	0	65	94.34	3419
HeQ_2017__SZAXPI029563-66__bin.17	3776	3534	200	42	0	65	3790	3545	203	42	0	67	95.09	3446
HeQ_2017__SZAXPI029569-84__bin.12	3707	3425	209	73	0	65	3729	3445	211	73	0	66	92.08	3337
HeQ_2017__SZAXPI029570-85__bin.33	3322	2919	285	118	0	65	3343	2936	289	118	0	67	78.26	2836
HeQ_2017__SZAXPI029573-88__bin.6	3687	3151	318	218	0	65	3774	3223	331	220	0	67	84.77	3072
HeQ_2017__SZAXPI029575-90__bin.32	3679	3283	289	107	0	65	3714	3303	300	111	0	65	88.11	3193
HeQ_2017__SZAXPI029590-113__bin.38	2695	2534	129	32	0	63	2709	2547	130	32	0	63	67.99	2464
HeQ_2017__SZAXPI029576-93__bin.36	3696	3406	204	86	0	65	3725	3431	208	86	0	67	91.69	3323
HeQ_2017__SZAXPI029583-101__bin.6	3613	3156	349	108	0	65	3646	3184	354	108	0	67	85.18	3087
HeQ_2017__SZAXPI029585-104__bin.11	3860	3570	250	40	0	65	3875	3582	253	40	0	66	96.05	3481
HeQ_2017__SZAXPI029578-96__bin.11	4295	3632	428	235	0	65	4360	3664	459	237	0	67	97.57	3536
HeQ_2017__SZAXPI029601-32__bin.69	3394	3005	263	126	0	55	3438	3047	265	126	0	57	80.82	2929
HeQ_2017__SZAXPI029597-158__bin.54	4142	3404	564	174	0	65	4179	3431	573	175	0	67	91.56	3318
HeQ_2017__SZAXPI029600-27__bin.65	3966	3489	244	233	0	65	4016	3532	251	233	0	67	93.98	3406
HMP_2012__SRS019129__bin.27	2726	2216	300	210	0	53	2751	2236	305	210	0	53	59.46	2155
HMP_2012__SRS012273__bin.25	4380	3448	683	249	0	65	4424	3476	698	250	0	67	93.27	3380
IjazUZ_2017__S49_a_WGS__bin.3	2901	2354	230	317	0	54	3058	2494	244	320	0	59	63.44	2299
HMP_2012__SRS017191__bin.27	4343	3408	517	418	0	65	4412	3456	532	424	0	66	91.5	3316
HMP_2012__SRS017521__bin.5	4149	3655	330	164	0	65	4177	3670	343	164	0	67	98.15	3557
IjazUZ_2017__S27_a_WGS__bin.1	3029	2298	375	356	0	44	3276	2514	401	361	0	53	62.0	2247
HMP_2012__SRS064276__bin.15	3610	2828	560	222	0	63	3636	2849	565	222	0	63	76.43	2770
KarlssonFH_2013__S146__bin.3	3213	2736	354	123	0	65	3251	2752	376	123	0	66	73.73	2672
KarlssonFH_2013__S205__bin.8	3908	3355	477	76	0	64	3938	3378	484	76	0	65	90.76	3289
KarlssonFH_2013__S194__bin.37	4231	3687	355	189	0	65	4288	3720	379	189	0	67	99.12	3592
KarlssonFH_2013__S200__bin.30	4084	3675	335	74	0	65	4129	3705	350	74	0	67	98.76	3579
KarlssonFH_2013__S365__bin.23	3023	2700	234	89	0	61	3038	2710	237	91	0	62	73.01	2646
KarlssonFH_2013__S224__bin.14	4391	3683	492	216	0	65	4443	3717	507	219	0	67	98.95	3586
KarlssonFH_2013__S231__bin.25	4397	3557	654	186	0	65	4448	3580	680	188	0	67	96.16	3485
KarlssonFH_2013__S526__bin.37	3124	2546	434	144	0	55	3171	2577	446	148	0	55	68.16	2470
KarlssonFH_2013__S381__bin.16	4100	3507	419	174	0	65	4160	3546	438	176	0	67	94.26	3416
KarlssonFH_2013__S248__bin.35	4301	3603	525	173	0	65	4348	3631	542	175	0	67	96.85	3510
KarlssonFH_2013__S550__bin.6	3877	3085	575	217	0	64	3928	3130	581	217	0	66	83.39	3022
KarlssonFH_2013__S536__bin.36	3957	3379	415	163	0	65	3991	3404	421	166	0	67	90.87	3293
KosticAD_2015__PRJNA231909.3104913__bin.4	2210	1815	206	189	0	56	2224	1826	209	189	0	57	49.2	1783
KarlssonFH_2013__S617__bin.7	3966	3458	394	114	0	65	3991	3479	398	114	0	66	92.96	3369
KarlssonFH_2013__S92__bin.9	4126	3421	524	181	0	65	4175	3460	533	182	0	67	91.78	3326
KosticAD_2015__PRJNA231909.3103734__bin.1	2972	2429	371	172	0	53	3019	2467	379	173	0	55	65.65	2379
KosticAD_2015__PRJNA231909.3101140__bin.11	4141	3534	475	132	0	65	4175	3563	480	132	0	67	95.47	3460
KosticAD_2015__PRJNA231909.3105379__bin.2	2417	2065	267	85	0	63	2424	2067	272	85	0	63	55.38	2007
KosticAD_2015__PRJNA231909.3101436__bin.2	4041	3379	547	115	0	65	4083	3404	564	115	0	67	91.25	3307
KosticAD_2015__PRJNA231909.3102986__bin.15	4078	3505	370	203	0	64	4140	3548	386	206	0	66	94.04	3408
KosticAD_2015__PRJNA231909.3105378__bin.8	3602	2791	461	350	0	61	3652	2833	464	355	0	61	75.5	2736
KosticAD_2015__PRJNA231909.3107336__bin.10	3176	2494	480	202	0	56	3206	2518	485	203	0	57	67.49	2446
KosticAD_2015__PRJNA231909.3105747__bin.10	3906	3299	448	159	0	61	3947	3337	451	159	0	63	88.58	3210
KosticAD_2015__PRJNA231909.3106384__bin.6	3415	2927	400	88	0	65	3443	2939	416	88	0	66	79.03	2864
KosticAD_2015__PRJNA231909.3107859__bin.2	3070	2635	216	219	0	54	3107	2670	217	220	0	56	70.89	2569
KosticAD_2015__PRJNA231909.3109940__bin.10	3177	2705	305	167	0	63	3211	2732	311	168	0	64	72.88	2641
KosticAD_2015__PRJNA231909.3107345__bin.3	3914	3093	583	238	0	64	3960	3127	592	241	0	67	83.64	3031
KosticAD_2015__PRJNA231909.3113663__bin.2	1977	1732	215	30	0	64	1990	1739	220	31	0	65	46.83	1697
KosticAD_2015__PRJNA231909.3113118__bin.6	2861	2533	262	66	0	60	2873	2543	264	66	0	61	68.54	2484
KosticAD_2015__PRJNA231909.3110090__bin.11	3998	3335	488	175	0	61	4042	3373	492	177	0	63	90.04	3263
KosticAD_2015__PRJNA231909.3113114__bin.11	4083	3508	462	113	0	65	4109	3525	471	113	0	67	94.76	3434
KosticAD_2015__PRJNA231909.3114542__bin.6	3109	2691	382	36	0	65	3117	2699	382	36	0	67	72.71	2635
KosticAD_2015__PRJNA231909.3113627__bin.3	4165	3470	514	181	0	65	4204	3501	522	181	0	67	93.79	3399
KosticAD_2015__PRJNA231909.3116471__bin.6	1993	1676	165	152	0	34	2016	1696	168	152	0	35	45.01	1631
KosticAD_2015__PRJNA231909.3116456__bin.6	3415	2871	317	227	0	62	3458	2911	320	227	0	63	77.29	2801
LeChatelierE_2013__MH0014__bin.6	2757	2271	401	85	0	65	2766	2278	403	85	0	66	61.62	2233
LeChatelierE_2013__MH0141__bin.67	2522	1874	279	369	0	51	2595	1934	286	375	0	52	50.41	1827
LeChatelierE_2013__MH0093__bin.4	3353	2853	412	88	0	65	3378	2868	421	89	0	65	77.04	2792
LeChatelierE_2013__MH0257__bin.28	2082	1869	182	31	0	65	2089	1874	184	31	0	66	50.69	1837
LeChatelierE_2013__MH0163__bin.6	2769	2338	274	157	0	55	2830	2390	283	157	0	59	63.02	2284
LeChatelierE_2013__MH0025__bin.25	4436	3376	620	440	0	64	4493	3414	637	442	0	66	90.67	3286
LeChatelierE_2013__MH0095__bin.3	3901	3511	289	101	0	65	3978	3578	297	103	0	68	94.34	3419
LeChatelierE_2013__MH0097__bin.19	4059	3615	334	110	0	65	4102	3650	342	110	0	67	97.19	3522
LeChatelierE_2013__MH0277__bin.15	1994	1752	209	33	0	65	2003	1757	213	33	0	66	47.21	1711
LeChatelierE_2013__MH0274__bin.56	2819	2103	473	243	0	50	2888	2157	487	244	0	52	56.79	2058
LeChatelierE_2013__MH0121__bin.15	4272	3669	447	156	0	65	4311	3696	459	156	0	67	98.54	3571
LeChatelierE_2013__MH0159__bin.33	4333	3399	652	282	0	65	4397	3444	666	287	0	68	91.8	3327
LeChatelierE_2013__MH0431__bin.65	2669	2196	244	229	0	60	2733	2252	250	231	0	63	59.05	2140
LeChatelierE_2013__MH0427__bin.30	3219	2890	238	91	0	63	3279	2943	243	93	0	65	77.81	2820
LeChatelierE_2013__MH0448__bin.38	3120	2342	443	335	0	51	3216	2426	454	336	0	52	62.91	2280
LeChatelierE_2013__MH0424__bin.35	4192	3251	485	456	0	62	4333	3340	525	468	0	64	87.36	3166
LeChatelierE_2013__MH0318__bin.22	4240	3620	475	145	0	65	4453	3798	508	147	0	74	97.19	3522
LeChatelierE_2013__MH0444__bin.16	3389	2841	423	125	0	65	3415	2856	434	125	0	65	76.08	2757
LeChatelierE_2013__MH0450__bin.56	3298	2658	452	188	0	61	3390	2731	469	190	0	64	71.88	2605
LeChatelierE_2013__MH0433__bin.42	4019	3502	434	83	0	65	4082	3558	441	83	0	67	94.12	3411
LiJ_2014__MH0221__bin.28	2948	2433	376	139	0	64	2964	2444	381	139	0	64	65.62	2378
LeChatelierE_2013__MH0456__bin.70	4211	3655	456	100	0	65	4254	3676	474	104	0	67	98.15	3557
LiJ_2014__MH0252__bin.2	3592	3033	415	144	0	64	3670	3105	421	144	0	66	81.4	2950
LiJ_2014__MH0265__bin.50	3449	2689	398	362	0	57	3543	2770	409	364	0	62	72.46	2626
LiJ_2014__MH0238__bin.51	4354	3413	643	298	0	65	4405	3449	651	305	0	69	92.3	3345
LiJ_2014__MH0308__bin.37	2733	2298	346	89	0	44	2766	2316	359	91	0	44	61.42	2226
LiJ_2014__MH0298__bin.11	3893	3069	587	237	0	64	3982	3138	604	240	0	65	82.7	2997
LiJ_2014__MH0266__bin.48	4212	3493	634	85	0	65	4243	3514	644	85	0	67	94.43	3422
LiJ_2014__MH0301__bin.18	4030	3340	477	213	0	63	4113	3406	494	213	0	63	89.71	3251
LiJ_2014__MH0315__bin.49	3450	2820	478	152	0	65	3500	2846	498	156	0	65	75.52	2737
LiJ_2014__MH0330__bin.51	2485	2176	260	49	0	65	2505	2193	263	49	0	66	58.86	2133
LiJ_2014__MH0309__bin.42	3994	3528	288	178	0	65	4024	3548	297	179	0	66	94.92	3440
LiJ_2014__MH0303__bin.81	4016	3100	628	288	0	65	4115	3182	644	289	0	69	83.69	3033
LiJ_2014__MH0328__bin.34	3899	3496	296	107	0	65	3973	3557	309	107	0	67	93.9	3403
LiJ_2014__MH0332__bin.38	3371	2663	425	283	0	59	3461	2741	435	285	0	62	71.72	2599
LiJ_2014__MH0342__bin.53	2256	1791	267	198	0	48	2321	1847	273	201	0	49	47.99	1739
LiJ_2014__MH0341__bin.49	2979	2360	419	200	0	21	2998	2373	423	202	0	21	63.41	2298
LiJ_2014__MH0338__bin.69	3970	3115	609	246	0	64	4059	3186	626	247	0	66	83.64	3031
LiJ_2014__MH0336__bin.20	4133	3471	434	228	0	65	4202	3512	458	232	0	67	93.16	3376
LiJ_2014__MH0343__bin.22	4311	3483	657	171	0	65	4369	3518	677	174	0	67	94.12	3411
LiJ_2014__MH0348__bin.25	4106	3480	531	95	0	65	4137	3502	538	97	0	67	93.54	3390
LiJ_2014__MH0354__bin.27	4166	3628	421	117	0	65	4211	3656	435	120	0	67	97.52	3534
LiJ_2014__MH0359__bin.2	4125	3479	323	323	0	65	4201	3541	334	326	0	68	93.49	3388
LiJ_2014__MH0351__bin.9	3849	3128	513	208	0	65	3929	3193	527	209	0	67	84.46	3061
LiJ_2014__MH0350__bin.6	3991	3353	412	226	0	64	4041	3392	419	230	0	66	90.23	3270
LiJ_2014__MH0374__bin.60	3528	2711	526	291	0	59	3619	2788	537	294	0	63	73.29	2656
LiJ_2014__MH0372__bin.48	4081	3176	666	239	0	65	4156	3230	686	240	0	69	85.84	3111
LiJ_2014__MH0394__bin.32	2593	2139	349	105	0	65	2606	2147	354	105	0	66	57.67	2090
LiJ_2014__MH0363__bin.46	4108	3398	548	162	0	65	4187	3467	558	162	0	68	91.89	3330
LiJ_2014__MH0392__bin.51	3741	3115	488	138	0	62	3791	3160	493	138	0	62	84.27	3054
LiJ_2014__MH0360__bin.56	4282	3628	448	206	0	65	4334	3658	467	209	0	68	97.43	3531
LiJ_2014__MH0382__bin.8	4202	3464	561	177	0	65	4242	3492	571	179	0	68	93.63	3393
LiJ_2014__MH0383__bin.38	4256	3651	501	104	0	65	4298	3673	520	105	0	67	98.01	3552
LiJ_2014__MH0402__bin.43	2593	2151	208	234	0	57	2642	2191	214	237	0	59	57.67	2090
LiJ_2014__O2.CD3-0-PT__bin.57	2788	2396	304	88	0	65	2804	2408	308	88	0	66	64.54	2339
LiJ_2014__NOF002-IE__bin.3	3773	3447	248	78	0	65	3801	3471	252	78	0	67	92.74	3361
LiJ_2014__O2.UC26-1__bin.23	2497	1886	473	138	0	54	2529	1908	483	138	0	55	50.83	1842
LiJ_2014__MH0397__bin.9	3815	3015	548	252	0	61	3917	3096	566	255	0	65	81.07	2938
LiJ_2014__O2.UC3-1__bin.1	2539	2159	218	162	0	49	2599	2218	219	162	0	54	58.2	2109
LiJ_2014__O2.UC7-1__bin.2	2252	1797	304	151	0	50	2296	1836	307	153	0	53	48.32	1751
LiJ_2014__O2.UC19-1__bin.11	4109	3635	387	87	0	65	4143	3660	396	87	0	67	97.63	3538
LiJ_2014__O2.UC47-1__bin.45	2742	2348	354	40	0	57	2753	2354	359	40	0	59	62.91	2280
LiJ_2014__V1.CD3-0-PT__bin.8	2141	1836	203	102	0	63	2156	1848	206	102	0	64	49.7	1801
LiJ_2014__V1.CD3-0-PN__bin.7	3325	2803	418	104	0	65	3354	2812	436	106	0	66	75.86	2749
LiJ_2014__V1.CD46-0__bin.40	3380	2973	276	131	0	60	3449	3040	278	131	0	62	80.02	2900
LiJ_2014__V1.CD48-0__bin.11	3880	3524	270	86	0	65	3911	3548	277	86	0	66	94.67	3431
LiJ_2014__V1.CD20-0__bin.4	4262	3673	437	152	0	65	4325	3719	453	153	0	68	98.68	3576
LiJ_2014__V1.CD53-0__bin.2	3379	2909	338	132	0	63	3433	2957	344	132	0	65	78.61	2849
LiJ_2014__V1.CD54-0__bin.10	3507	2900	384	223	0	60	3570	2954	392	224	0	61	78.64	2850
LiJ_2014__V1.CD5-0-PN__bin.15	3254	2673	366	215	0	65	3276	2688	370	218	0	65	71.69	2598
LiJ_2014__V1.FI02__bin.55	2487	1819	415	253	0	45	2558	1877	425	256	0	48	49.48	1793
LiJ_2014__V1.FI17__bin.89	3489	2738	481	270	0	63	3573	2807	493	273	0	65	74.2	2689
LiJ_2014__V1.UC39-4__bin.45	2300	1776	301	223	0	48	2376	1840	310	226	0	51	47.9	1736
LiJ_2014__V1.FI22__bin.63	2724	2463	212	49	0	65	2745	2481	215	49	0	66	66.53	2411
LiJ_2014__V1.FI24__bin.76	3472	2798	490	184	0	65	3511	2816	511	184	0	65	75.52	2737
LiJ_2017__H1M413822__bin.5	2132	1853	169	110	0	33	2138	1857	171	110	0	34	49.89	1808
LiJ_2014__V1.FI34__bin.21	3639	3059	412	168	0	65	3683	3081	431	171	0	66	82.26	2981
LiJ_2014__V1.UC22-1__bin.74	4213	3518	354	341	0	64	4270	3566	361	343	0	66	94.59	3428
LiJ_2017__H1M512853__bin.7	3392	3232	105	55	0	65	3418	3251	112	55	0	65	87.03	3154
LiJ_2017__H1M412844__bin.4	3826	3315	349	162	0	65	3850	3334	352	164	0	67	89.35	3238
LiJ_2017__H1M512854__bin.28	4031	3574	308	149	0	61	4075	3611	312	152	0	63	96.03	3480
LiJ_2017__H1M512855__bin.3	3790	3285	402	103	0	65	3815	3306	406	103	0	67	88.44	3205
LiJ_2017__H1M513730__bin.5	3695	3391	193	111	0	64	3727	3418	197	112	0	65	91.2	3305
LiJ_2017__H2F413935__bin.23	3248	3011	193	44	0	61	3282	3045	193	44	0	62	81.21	2943
LiJ_2017__H1M513813__bin.4	3347	3066	137	144	0	65	3387	3103	140	144	0	66	82.67	2996
LiJ_2017__H1M513816__bin.1	4029	3414	309	306	0	65	4090	3460	316	314	0	67	91.72	3324
LiJ_2017__H2M411920__bin.39	4003	3550	354	99	0	65	4028	3570	358	100	0	67	95.42	3458
LiJ_2017__H2M513939__bin.5	3699	3525	137	37	0	65	3716	3540	139	37	0	67	94.81	3436
LiJ_2017__H2M414926__bin.9	3644	3272	257	115	0	65	3662	3287	260	115	0	67	87.91	3186
LiJ_2017__H2M614832__bin.33	1817	1592	119	106	0	34	1834	1607	120	107	0	34	42.94	1556
LiJ_2017__H2M514841__bin.47	4045	3565	401	79	0	65	4064	3582	403	79	0	67	95.72	3469
LiJ_2017__H2M514905__bin.2	3819	3529	194	96	0	65	3870	3566	208	96	0	67	95.01	3443
LiJ_2017__H2M514917__bin.22	3875	3454	296	125	0	65	3913	3483	304	126	0	67	92.88	3366
LiJ_2017__H2M514906__bin.30	4017	3438	443	136	0	65	4049	3460	453	136	0	67	92.27	3344
LiJ_2017__H3F416103__bin.15	3315	3001	219	95	0	62	3397	3081	220	96	0	62	80.71	2925
LiJ_2017__H2M414927__bin.19	3994	3436	437	121	0	65	4020	3453	446	121	0	67	92.58	3355
LiJ_2017__H3M415117__bin.29	2599	2353	159	87	0	60	2622	2373	161	88	0	61	63.36	2296
LiJ_2017__H3M414933__bin.22	2064	1755	195	114	0	48	2079	1765	198	116	0	49	47.41	1718
LiJ_2017__H3M514144__bin.27	2012	1779	108	125	0	50	2029	1795	109	125	0	51	47.85	1734
LiJ_2017__H3M514142__bin.11	2433	2213	160	60	0	56	2453	2231	162	60	0	57	59.66	2162
LiJ_2017__H3M513141__bin.6	2874	2512	307	55	0	54	2895	2527	312	56	0	56	67.52	2447
LiJ_2017__H3M415906__bin.14	4101	3564	256	281	0	65	4146	3601	263	282	0	67	95.81	3472
LiJ_2017__H3M416127__bin.6	3876	3484	284	108	0	65	3919	3516	295	108	0	67	93.57	3391
LiJ_2017__H3M515137__bin.5	1910	1834	69	7	0	61	1914	1837	70	7	0	61	49.56	1796
LiJ_2017__H3M515123__bin.8	3506	3361	121	24	0	65	3527	3379	124	24	0	66	90.59	3283
LiJ_2017__H3M516114__bin.22	2664	2493	110	61	0	53	2686	2515	110	61	0	54	67.16	2434
LiJ_2017__H3M515910__bin.18	3681	3171	312	198	0	65	3704	3192	313	199	0	67	85.4	3095
LiJ_2017__H3M515950__bin.17	3703	3344	262	97	0	62	3739	3377	264	98	0	64	90.01	3262
LiJ_2017__H3M515935__bin.27	3805	3559	226	20	0	64	3831	3581	230	20	0	66	95.64	3466
LiJ_2017__H3M516129__bin.31	3245	3117	98	30	0	64	3263	3132	101	30	0	65	84.0	3044
LiJ_2017__H3M516804__bin.26	2864	2566	190	108	0	62	2888	2589	191	108	0	63	69.07	2503
LiJ_2017__H3M517922__bin.1	2268	2035	127	106	0	56	2294	2058	130	106	0	57	54.91	1990
LiJ_2017__H3M516845__bin.40	2337	2041	154	142	0	17	2368	2064	160	144	0	17	54.69	1982
LiJ_2017__H3M516154__bin.4	4187	3428	536	223	0	65	4232	3448	559	225	0	67	92.58	3355
LiJ_2017__H3M518108__bin.25	3071	2819	131	121	0	58	3096	2842	133	121	0	59	76.02	2755
LiJ_2017__H3M516909__bin.20	3337	3094	163	80	0	65	3374	3121	170	83	0	67	83.31	3019
LiJ_2017__H3M616848__bin.26	2787	2612	157	18	0	65	2798	2619	161	18	0	65	70.5	2555
LiJ_2017__H3M518112__bin.7	3531	3087	312	132	0	65	3546	3101	312	133	0	67	83.47	3025
LiJ_2017__nHF409542__bin.22	3552	3374	112	66	0	65	3579	3399	114	66	0	67	90.87	3293
LiJ_2017__H3M518116__bin.27	4164	3415	562	187	0	65	4200	3443	569	188	0	66	91.97	3333
LiJ_2017__nHM412844__bin.5	1968	1788	98	82	0	46	1991	1809	100	82	0	47	48.43	1755
LiJ_2017__nHF512829__bin.8	3308	3111	136	61	0	64	3323	3126	136	61	0	65	83.77	3036
LiJ_2017__nHM410833__bin.9	3142	2937	162	43	0	63	3167	2961	163	43	0	64	79.06	2865
LiJ_2017__nHM511735__bin.16	2007	1729	102	176	0	48	2018	1739	102	177	0	48	46.55	1687
LiJ_2017__nHM412703__bin.63	2699	2550	87	62	0	59	2734	2582	90	62	0	59	68.85	2495
LiJ_2017__nHF511704__bin.24	4107	3568	314	225	0	65	4147	3596	323	228	0	67	95.78	3471
LiJ_2017__nHM411801__bin.8	3698	3335	250	113	0	65	3724	3360	251	113	0	67	89.74	3252
LiJ_2017__nHM512806__bin.40	2789	2541	149	99	0	65	2822	2571	151	100	0	66	68.52	2483
LiJ_2017__nHM511825__bin.26	3371	2849	333	189	0	61	3407	2880	335	192	0	62	76.88	2786
LiJ_2017__nHM511821__bin.19	3943	3554	278	111	0	65	3966	3572	283	111	0	67	95.58	3464
LiJ_2017__nHM512828__bin.5	3760	3441	223	96	0	65	3781	3459	226	96	0	67	92.47	3351
LiJ_2017__nHM612709__bin.24	3632	3143	400	89	0	62	3654	3163	402	89	0	64	84.8	3073
LiSS_2016__FAT_010-22-2-0__bin.10	2506	2159	312	35	0	65	2516	2165	316	35	0	66	58.58	2123
LiJ_2017__nHM612743__bin.16	3808	3259	396	153	0	63	3851	3291	405	155	0	65	87.61	3175
LiSS_2016__FAT_006-22-2-0__bin.7	3656	3037	467	152	0	64	3707	3077	477	153	0	66	81.68	2960
